PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35,2026,1,2,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52,2026,1,2,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,2026,1,2,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,12892,1289209,32575,LAX,"Los Angeles, CA",CA,06,California,91,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,13303,1330304,32467,MIA,"Miami, FL",FL,12,Florida,33,13303,1330304,32467,MIA,"Miami, FL",FL,12,Florida,33,2026,1,2,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,2026,1,2,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,13891,1389101,32575,ONT,"Ontario, CA",CA,06,California,91,13891,1389101,32575,ONT,"Ontario, CA",CA,06,California,91,2026,1,1,1,G
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,14057,1405703,34057,PDX,"Portland, OR",OR,41,Oregon,92,14057,1405703,34057,PDX,"Portland, OR",OR,41,Oregon,92,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,14107,1410703,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,14107,1410703,30466,PHX,"Phoenix, AZ",AZ,04,Arizona,81,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,14512,1451202,34512,RFD,"Rockford, IL",IL,17,Illinois,41,14512,1451202,34512,RFD,"Rockford, IL",IL,17,Illinois,41,2026,1,1,1,P
0.00,0.00,0.00,0.00,ABX,20453,ABX Air Inc,80006,D,ABX,ABX Air Inc,2,2,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,2026,1,2,1,P
0.00,0.00,0.00,0.00,AMQ,20201,Ameristar Air Cargo,06055,D,AMQ,Ameristar Air Cargo,1,4,14004,1400404,34004,PAE,"Everett, WA",WA,53,Washington,93,14004,1400404,34004,PAE,"Everett, WA",WA,53,Washington,93,2026,1,1,1,P
0.00,0.00,0.00,0.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,D,GCA,"Global Crossing Airlines, Inc.",2,2,10185,1018503,30185,AEX,"Alexandria, LA",LA,22,Louisiana,72,10185,1018503,30185,AEX,"Alexandria, LA",LA,22,Louisiana,72,2026,1,2,1,L
0.00,0.00,0.00,0.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,D,GCA,"Global Crossing Airlines, Inc.",2,2,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93,2026,1,1,1,L
0.00,0.00,0.00,0.00,GCA,22085,"Global Crossing Airlines, Inc.",01287,D,GCA,"Global Crossing Airlines, Inc.",2,2,13303,1330304,32467,MIA,"Miami, FL",FL,12,Florida,33,13303,1330304,32467,MIA,"Miami, FL",FL,12,Florida,33,2026,1,1,1,L
0.00,0.00,0.00,0.00,JN,21673,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",01932,D,JN,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",1,5,13467,1346706,30299,MRI,"Anchorage, AK",AK,02,Alaska,1,13467,1346706,30299,MRI,"Anchorage, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10304,1030402,30304,ANI,"Aniak, AK",AK,02,Alaska,1,10304,1030402,30304,ANI,"Aniak, AK",AK,02,Alaska,1,2026,1,1,1,F
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10304,1030402,30304,ANI,"Aniak, AK",AK,02,Alaska,1,10304,1030402,30304,ANI,"Aniak, AK",AK,02,Alaska,1,2026,1,2,1,F
0.00,0.00,0.00,0.00,K2,21820,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",01212,D,K2,"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",1,5,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,10551,1055102,30113,BET,"Bethel, AK",AK,02,Alaska,1,2026,1,1,1,L
